2019-11-19 10:48:26.664732: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
2019-11-19 10:48:26.826185: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:998] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2019-11-19 10:48:26.827380: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x6bcbca0 executing computations on platform CUDA. Devices:
2019-11-19 10:48:26.827417: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): Tesla V100-PCIE-32GB, Compute Capability 7.0
2019-11-19 10:48:26.829536: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2200060000 Hz
2019-11-19 10:48:26.831272: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x6c347f0 executing computations on platform Host. Devices:
2019-11-19 10:48:26.831295: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
2019-11-19 10:48:26.831866: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1433] Found device 0 with properties: 
name: Tesla V100-PCIE-32GB major: 7 minor: 0 memoryClockRate(GHz): 1.38
pciBusID: 0000:00:05.0
totalMemory: 31.72GiB freeMemory: 31.41GiB
2019-11-19 10:48:26.831881: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1512] Adding visible gpu devices: 0
2019-11-19 10:48:26.833176: I tensorflow/core/common_runtime/gpu/gpu_device.cc:984] Device interconnect StreamExecutor with strength 1 edge matrix:
2019-11-19 10:48:26.833188: I tensorflow/core/common_runtime/gpu/gpu_device.cc:990]      0 
2019-11-19 10:48:26.833194: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1003] 0:   N 
2019-11-19 10:48:26.833265: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1115] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 14616 MB memory) -> physical GPU (device: 0, name: Tesla V100-PCIE-32GB, pci bus id: 0000:00:05.0, compute capability: 7.0)
WARNING:tensorflow:From /skku/skku02/.virtualenvs/venv_gpt/lib/python3.5/site-packages/tensorflow/python/framework/op_def_library.py:263: colocate_with (from tensorflow.python.framework.ops) is deprecated and will be removed in a future version.
Instructions for updating:
Colocations handled automatically by placer.
WARNING:tensorflow:From ./src/sample.py:67: to_float (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
WARNING:tensorflow:From ./src/sample.py:72: multinomial (from tensorflow.python.ops.random_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.random.categorical instead.
WARNING:tensorflow:From /skku/skku02/.virtualenvs/venv_gpt/lib/python3.5/site-packages/tensorflow/python/ops/math_ops.py:3066: to_int32 (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
WARNING:tensorflow:From /skku/skku02/.virtualenvs/venv_gpt/lib/python3.5/site-packages/tensorflow/python/ops/math_grad.py:102: div (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Deprecated in favor of operator or tf.math.divide.
WARNING:tensorflow:From /skku/skku02/.virtualenvs/venv_gpt/lib/python3.5/site-packages/tensorflow/python/training/saver.py:1266: checkpoint_exists (from tensorflow.python.training.checkpoint_management) is deprecated and will be removed in a future version.
Instructions for updating:
Use standard file APIs to check for files with this prefix.
2019-11-19 10:49:13.708551: I tensorflow/stream_executor/dso_loader.cc:152] successfully opened CUDA library libcublas.so.10.0 locally
Loading checkpoint checkpoint/pretrained/model-7760000
Loading dataset...
Training...
[2 | 8.74] loss=3.71111 avg=3.71111

[11500 | 6415.54] loss=0.96070 avg=1.06858
[11501 | 6416.04] loss=0.83448 avg=1.06624
[11502 | 6416.54] loss=0.41191 avg=1.05970
[11503 | 6417.04] loss=0.91235 avg=1.05823
[11504 | 6417.54] loss=1.82402 avg=1.06588
[11505 | 6418.04] loss=1.07847 avg=1.06601
[11506 | 6418.54] loss=0.74324 avg=1.06278
[11507 | 6419.04] loss=1.24239 avg=1.06458
[11508 | 6419.54] loss=0.91467 avg=1.06308
[11509 | 6420.04] loss=1.18503 avg=1.06430
[11510 | 6420.54] loss=0.80377 avg=1.06169
[11511 | 6421.04] loss=0.59230 avg=1.05700
[11512 | 6421.54] loss=1.34754 avg=1.05991
[11513 | 6422.04] loss=1.04971 avg=1.05980
[11514 | 6422.54] loss=1.02061 avg=1.05941
[11515 | 6423.04] loss=0.73237 avg=1.05614
[11516 | 6423.54] loss=1.81436 avg=1.06372
[11517 | 6424.04] loss=1.00381 avg=1.06312
[11518 | 6424.54] loss=1.25617 avg=1.06506
[11519 | 6425.04] loss=0.88196 avg=1.06322
[11520 | 6425.54] loss=0.39320 avg=1.05652
[11521 | 6426.04] loss=0.72926 avg=1.05325
[11522 | 6426.54] loss=1.05958 avg=1.05331
[11523 | 6427.05] loss=1.28856 avg=1.05567
[11524 | 6427.55] loss=0.81518 avg=1.05326
[11525 | 6428.05] loss=1.84663 avg=1.06120
[11526 | 6428.55] loss=0.50561 avg=1.05564
[11527 | 6429.05] loss=1.00296 avg=1.05511
[11528 | 6429.55] loss=0.93284 avg=1.05389
[11529 | 6430.05] loss=0.52598 avg=1.04861
[11530 | 6430.55] loss=1.25467 avg=1.05067
[11531 | 6431.06] loss=0.73289 avg=1.04749
[11532 | 6431.56] loss=1.41742 avg=1.05119
[11533 | 6432.06] loss=0.78694 avg=1.04855
[11534 | 6432.56] loss=2.17627 avg=1.05983
[11535 | 6433.06] loss=0.80495 avg=1.05728
[11536 | 6433.56] loss=0.57446 avg=1.05245
[11537 | 6434.06] loss=0.77202 avg=1.04965
[11538 | 6434.56] loss=0.58850 avg=1.04504
[11539 | 6435.06] loss=1.20512 avg=1.04664
[11540 | 6435.56] loss=1.28826 avg=1.04905
[11541 | 6436.07] loss=0.61907 avg=1.04475
[11542 | 6436.57] loss=1.14385 avg=1.04574
[11543 | 6437.07] loss=1.46250 avg=1.04991
[11544 | 6437.57] loss=0.88622 avg=1.04827
[11545 | 6438.07] loss=0.69323 avg=1.04472
[11546 | 6438.58] loss=1.62045 avg=1.05048
[11547 | 6439.08] loss=1.03197 avg=1.05030
[11548 | 6439.58] loss=0.84216 avg=1.04821
[11549 | 6440.08] loss=1.50935 avg=1.05283
[11550 | 6440.58] loss=0.96031 avg=1.05190
[11551 | 6441.08] loss=1.12934 avg=1.05268
[11552 | 6441.58] loss=2.01369 avg=1.06229
[11553 | 6442.08] loss=1.41547 avg=1.06582
[11554 | 6442.58] loss=1.26698 avg=1.06783
[11555 | 6443.08] loss=1.89576 avg=1.07611
[11556 | 6443.58] loss=1.64428 avg=1.08179
[11557 | 6444.08] loss=1.66965 avg=1.08767
[11558 | 6444.58] loss=1.24045 avg=1.08920
[11559 | 6445.08] loss=0.96319 avg=1.08794
[11560 | 6445.58] loss=0.79393 avg=1.08500
[11561 | 6446.09] loss=0.66804 avg=1.08083
[11562 | 6446.59] loss=1.64587 avg=1.08648
[11563 | 6447.09] loss=1.08774 avg=1.08649
[11564 | 6447.59] loss=1.54788 avg=1.09110
[11565 | 6448.09] loss=0.73349 avg=1.08753
[11566 | 6448.59] loss=0.71595 avg=1.08381
[11567 | 6449.09] loss=0.60394 avg=1.07901
[11568 | 6449.59] loss=1.14671 avg=1.07969
[11569 | 6450.09] loss=1.00509 avg=1.07894
[11570 | 6450.59] loss=1.39522 avg=1.08211
[11571 | 6451.09] loss=0.64734 avg=1.07776
[11572 | 6451.59] loss=1.72449 avg=1.08423
[11573 | 6452.09] loss=1.20185 avg=1.08540
[11574 | 6452.59] loss=1.52074 avg=1.08976
[11575 | 6453.10] loss=0.82010 avg=1.08706
[11576 | 6453.60] loss=0.97360 avg=1.08592
[11577 | 6454.10] loss=1.05958 avg=1.08566
[11578 | 6454.60] loss=1.40515 avg=1.08886
[11579 | 6455.10] loss=1.32023 avg=1.09117
[11580 | 6455.60] loss=1.23898 avg=1.09265
[11581 | 6456.10] loss=1.31982 avg=1.09492
[11582 | 6456.60] loss=1.38399 avg=1.09781
[11583 | 6457.10] loss=0.78938 avg=1.09473
[11584 | 6457.60] loss=0.77689 avg=1.09155
[11585 | 6458.10] loss=1.12610 avg=1.09189
[11586 | 6458.60] loss=1.18986 avg=1.09287
[11587 | 6459.10] loss=0.80491 avg=1.08999
[11588 | 6459.60] loss=1.03559 avg=1.08945
[11589 | 6460.10] loss=1.06731 avg=1.08923
[11590 | 6460.61] loss=1.80593 avg=1.09640
[11591 | 6461.10] loss=0.53688 avg=1.09080
[11592 | 6461.60] loss=1.56937 avg=1.09559
[11593 | 6462.10] loss=1.16637 avg=1.09629
[11594 | 6462.60] loss=1.07901 avg=1.09612
[11595 | 6463.10] loss=1.58682 avg=1.10103
[11596 | 6463.61] loss=0.69032 avg=1.09692
[11597 | 6464.11] loss=1.17738 avg=1.09773
[11598 | 6464.61] loss=1.58127 avg=1.10256
[11599 | 6465.11] loss=1.13086 avg=1.10284
Generating samples...
======== SAMPLE 1 ========
['친구', '##를', '만났', '##습니다', '.', '물론', '첫', '만남', '##부터', '우리', '##는', '티격태격', '##하', '##며', '금세', '친해졌', '##습니다', '.', '첫', '##사랑', '##은', '아직', '이루어지', '##지', '않', '##았', '##고', ',', '두', '##번', '##째', '만났', '##을', '때', '##가', '오', '##면', '상황', '##은', '복잡', '##해집니다', '.', '처음', '만난', '사람', '##과', '##의', '교감', '##은', '2', '##배', '##로', ',', '정신', '##적', '##으로', '##도', '성장', '##했다', '##고', '했', '##습니다', '.', '그러나', '첫', '번', '##째', ',', '그러니까', '첫', '##사랑', '##은', '졸업', '즈음에', '옛', '연인', '##들', '##이', '떠나', '##갔', '##습니다', '.', '거기', '##에', '새', '짝', '##이', '##었', '##던', '친구', '한', '명이', '빠졌', '##습니다', '.', '그', '애', '##는', '우리', '##에게', '몇', '번의', '물음', '한', '마디', '안', '던지', '##고', ',', '핸드폰', '번호', '##만', '##으로', '##도', '연락', '##이', '왔', '##습니다', '.', '우린', '서로', '눈치', '##를', '살피', '##며', ',', '가벼운', '말', '##을', '주', '##고', '받', '##았', '##습니다', '.', '하지만', '거기', '##서', '그친', '것', '같', '##았', '##습니다', '.', '그리고', ',', '친구', '##한테', '##는', '잘', '한마디', '해주', '##지', '않', '##았', '##습니다', '.', '말', '##을', '먼저', '꺼냈', '##지만', ',', '자기', '##가', '먼저', '말', '##하', '##는', '것', '##이', '무의미', '##해집니다', '.', '사실', '어쩌면', '상대방', '##은', '친구', '##라고', '말', '할', '수', '있', '##는', '겁니다', '.', '하지만', '친구', '##가', '없', '##으니', '침묵', '##으로', '##요', '.', '말', '##을', '못', '들', '##은', '자기', '##는', '이미', '상대방', '##에', '대한', '두려움', '##은', '상실', '##하고', ',', '멀', '##찌', '##감', '##치', '도망', '왔다', '##며', '소리치', '##는', '것', '같', '##았', '##습니다', '.', '난', '제', '친구', '##의', '말', '##에', '사실', '듣', '##도', '제대로', '들리', '##지', '않', '##았', '##어요', '.', '상대방', '##은', '제', '##가', '싫', '##어', '##하', '##는', '사람', '##인가요', '?', '저', '##는', '친구', '##인데']

[11600 | 6470.30] loss=0.64813 avg=1.09830
[11601 | 6470.80] loss=0.60031 avg=1.09332
[11602 | 6471.30] loss=1.56070 avg=1.09799
[11603 | 6471.80] loss=1.37990 avg=1.10081
[11604 | 6472.30] loss=1.53248 avg=1.10513
[11605 | 6472.80] loss=1.45633 avg=1.10864
[11606 | 6473.30] loss=0.61413 avg=1.10369
[11607 | 6473.80] loss=0.77108 avg=1.10037
[11608 | 6474.30] loss=1.27290 avg=1.10209
[11609 | 6474.80] loss=1.32127 avg=1.10428
[11610 | 6475.30] loss=1.15919 avg=1.10483
[11611 | 6475.80] loss=0.57812 avg=1.09957
[11612 | 6476.30] loss=0.96448 avg=1.09822
[11613 | 6476.80] loss=1.31656 avg=1.10040
[11614 | 6477.30] loss=0.70228 avg=1.09642
[11615 | 6477.80] loss=1.12970 avg=1.09675
[11616 | 6478.30] loss=1.15252 avg=1.09731
[11617 | 6478.80] loss=1.20107 avg=1.09835
[11618 | 6479.30] loss=2.01881 avg=1.10755
[11619 | 6479.81] loss=0.71243 avg=1.10360
[11620 | 6480.31] loss=0.93882 avg=1.10195
[11621 | 6480.81] loss=0.64613 avg=1.09739
[11622 | 6481.31] loss=1.15727 avg=1.09799
[11623 | 6481.81] loss=1.60748 avg=1.10309
[11624 | 6482.31] loss=1.21104 avg=1.10417
[11625 | 6482.82] loss=1.04438 avg=1.10357
[11626 | 6483.32] loss=1.62230 avg=1.10876
[11627 | 6483.82] loss=0.81649 avg=1.10583
[11628 | 6484.32] loss=1.11754 avg=1.10595
[11629 | 6484.82] loss=0.93863 avg=1.10428
[11630 | 6485.33] loss=1.87361 avg=1.11197
[11631 | 6485.83] loss=0.48250 avg=1.10568
[11632 | 6486.33] loss=0.88430 avg=1.10346
[11633 | 6486.83] loss=1.68108 avg=1.10924
[11634 | 6487.33] loss=0.84693 avg=1.10661
[11635 | 6487.83] loss=0.80379 avg=1.10359
[11636 | 6488.33] loss=1.22644 avg=1.10482
[11637 | 6488.84] loss=1.18926 avg=1.10566
[11638 | 6489.35] loss=1.24701 avg=1.10707
[11639 | 6489.85] loss=0.94045 avg=1.10541
[11640 | 6490.35] loss=0.66740 avg=1.10103
[11641 | 6490.85] loss=1.11046 avg=1.10112
[11642 | 6491.35] loss=1.05462 avg=1.10066
[11643 | 6491.85] loss=1.25663 avg=1.10222
[11644 | 6492.35] loss=1.13929 avg=1.10259
[11645 | 6492.85] loss=1.07770 avg=1.10234
[11646 | 6493.35] loss=1.26957 avg=1.10401
[11647 | 6493.85] loss=0.86315 avg=1.10160
[11648 | 6494.35] loss=1.79398 avg=1.10853
[11649 | 6494.85] loss=1.19121 avg=1.10935
[11650 | 6495.36] loss=0.55483 avg=1.10381
[11651 | 6495.86] loss=1.25386 avg=1.10531
[11652 | 6496.36] loss=0.44090 avg=1.09866
[11653 | 6496.86] loss=2.06191 avg=1.10830
[11654 | 6497.36] loss=0.59486 avg=1.10316
[11655 | 6497.86] loss=2.32770 avg=1.11541
[11656 | 6498.36] loss=2.15473 avg=1.12580
[11657 | 6498.86] loss=1.23660 avg=1.12691
[11658 | 6499.37] loss=1.50749 avg=1.13071
[11659 | 6499.87] loss=1.10595 avg=1.13047
[11660 | 6500.37] loss=0.94341 avg=1.12860
[11661 | 6500.87] loss=0.92776 avg=1.12659
[11662 | 6501.37] loss=1.16565 avg=1.12698
[11663 | 6501.87] loss=1.10261 avg=1.12673
[11664 | 6502.37] loss=0.84797 avg=1.12395
[11665 | 6502.87] loss=0.96623 avg=1.12237
[11666 | 6503.38] loss=1.28934 avg=1.12404
[11667 | 6503.88] loss=1.24151 avg=1.12521
[11668 | 6504.38] loss=0.68381 avg=1.12080
[11669 | 6504.88] loss=0.92215 avg=1.11881
[11670 | 6505.38] loss=1.46581 avg=1.12228
[11671 | 6505.88] loss=1.19565 avg=1.12302
[11672 | 6506.38] loss=1.21755 avg=1.12396
[11673 | 6506.89] loss=0.32253 avg=1.11595
[11674 | 6507.39] loss=1.58338 avg=1.12062
[11675 | 6507.89] loss=0.62936 avg=1.11571
[11676 | 6508.39] loss=0.21466 avg=1.10670
[11677 | 6508.89] loss=0.47726 avg=1.10040
[11678 | 6509.39] loss=1.32967 avg=1.10270
[11679 | 6509.89] loss=0.92010 avg=1.10087
[11680 | 6510.39] loss=0.48779 avg=1.09474
[11681 | 6510.89] loss=0.77691 avg=1.09156
[11682 | 6511.39] loss=1.19773 avg=1.09262
[11683 | 6511.89] loss=0.51193 avg=1.08682
[11684 | 6512.39] loss=1.02813 avg=1.08623
[11685 | 6512.89] loss=0.83685 avg=1.08374
[11686 | 6513.39] loss=1.26848 avg=1.08558
[11687 | 6513.90] loss=1.33111 avg=1.08804
[11688 | 6514.40] loss=1.36324 avg=1.09079
[11689 | 6514.90] loss=1.06297 avg=1.09051
[11690 | 6515.40] loss=0.84189 avg=1.08803
[11691 | 6515.90] loss=1.24989 avg=1.08965
[11692 | 6516.40] loss=0.73651 avg=1.08611
[11693 | 6516.91] loss=1.07800 avg=1.08603
[11694 | 6517.41] loss=1.04940 avg=1.08567
[11695 | 6517.91] loss=1.01573 avg=1.08497
[11696 | 6518.41] loss=0.93585 avg=1.08348
[11697 | 6518.91] loss=0.97940 avg=1.08244
[11698 | 6519.41] loss=1.26101 avg=1.08422
[11699 | 6519.91] loss=0.87714 avg=1.08215
Generating samples...
======== SAMPLE 1 ========
['축', '##살', '##이', '##었', '##다', '.', '내', '##가', '태어났', '##을', '때', '##는', '이미', '아기', '##는', '태어나', '##서', '한', '번', '##에', '세상', '##으로', '나갈', '용기', '##를', '잃', '##은', '것', '##이나', '다름없', '##었', '##다', '.', '세상', '##에', '태어나', '##서', '죽', '##을', '것', '##이라고', '상상', '##할', '수', '있', '##는', '어떤', '단계', '##에서부터', ',', '나', '##는', '아기', '##에게', '말', '##을', '해', '봤', '##다', '.', '"', '[UNK]', ',', '엄마', ',', '나', '병원', '##에', '가보', '##자', '.', '"', '"', '아기', '##가', '태어나', '##고', '아기', '##가', '세상', '##으로', '나가', '##는', '단계', '##에서', '우리', '##는', '아기', '##에게', '말', '##을', '걸', '##지', '못', '##했다', '.', '나의', '예상', '##은', '확신', '##이', '##었', '##지만', '[UNK]', '말', '##하', '##지', '못', '##했다', '.', '나', '##는', '아기', '##에', '말', '##을', '걸', '##었', '##다', '.', '"', '음', ',', '뭐', '?', '한', '번', '엄마', '##가', '해주', '##셨', '##으면', '좋', '##겠', '##네', '.', '"', '"', '?', '?', '?', '?', '?', '"', '"', '[UNK]', ',', '얘', '##가', '똑똑', '##했', '##던', '것', '같', '##다', '.', '"', '"', '응', '.', '"', '우리', '##는', '아기', '##의', '손', '##을', '꽉', '쥐', '##고', '조심', '##스럽', '##게', '말', '##을', '꺼냈', '##다', '.', '나', '##는', '아기', '##와', '함께', '침대', '##에', '앉', '##아', '이야기', '##를', '나누', '##었', '##다', '.', '밤', '##이', '지날', '때', '##쯤', '나', '##는', '아기', '##와', '계속', '마주쳤', '##다', '.', '아기', '##의', '얼굴', '##은', '창백', '##한', '것', '같', '##고', '나', '##는', '차갑', '##고', '무덤', '##덤', '##한', '상태', '##였', '##다', '.', '아기', '##를', '안', '##고', '있', '##는', '나', '##는', '아기', '##가', '죽', '##은', '게', '아니', '##라', ',', '내', '##가', '죽', '##은', '게', '아니', '##라', '그대로', '떠나', '##버린', '허망', '##감', '##에', '머리', '##를']

[11700 | 6525.06] loss=1.23394 avg=1.08367
[11701 | 6525.57] loss=0.92600 avg=1.08209
[11702 | 6526.07] loss=1.14602 avg=1.08273
[11703 | 6526.57] loss=1.94595 avg=1.09136
[11704 | 6527.07] loss=1.34338 avg=1.09388
[11705 | 6527.57] loss=0.92166 avg=1.09216
[11706 | 6528.08] loss=1.38974 avg=1.09514
[11707 | 6528.58] loss=0.37027 avg=1.08789
[11708 | 6529.08] loss=0.63169 avg=1.08333
[11709 | 6529.58] loss=1.18065 avg=1.08430
[11710 | 6530.09] loss=0.69986 avg=1.08045
[11711 | 6530.59] loss=1.56402 avg=1.08529
[11712 | 6531.09] loss=0.92360 avg=1.08367
[11713 | 6531.60] loss=0.39332 avg=1.07677
[11714 | 6532.10] loss=1.18023 avg=1.07780
[11715 | 6532.60] loss=1.18714 avg=1.07890
[11716 | 6533.10] loss=1.11169 avg=1.07923
[11717 | 6533.60] loss=0.93495 avg=1.07778
[11718 | 6534.10] loss=0.77040 avg=1.07471
[11719 | 6534.60] loss=0.52641 avg=1.06923
[11720 | 6535.10] loss=0.56341 avg=1.06417
[11721 | 6535.60] loss=1.55761 avg=1.06910
[11722 | 6536.10] loss=1.45134 avg=1.07292
[11723 | 6536.60] loss=0.87584 avg=1.07095
[11724 | 6537.11] loss=1.13330 avg=1.07158
[11725 | 6537.61] loss=0.91901 avg=1.07005
[11726 | 6538.11] loss=0.75681 avg=1.06692
[11727 | 6538.61] loss=1.79841 avg=1.07423
[11728 | 6539.11] loss=0.76065 avg=1.07110
[11729 | 6539.62] loss=0.31424 avg=1.06353
[11730 | 6540.12] loss=0.68498 avg=1.05974
[11731 | 6540.62] loss=1.69375 avg=1.06608
[11732 | 6541.12] loss=0.42675 avg=1.05969
[11733 | 6541.62] loss=0.62419 avg=1.05534
[11734 | 6542.12] loss=1.75951 avg=1.06238
[11735 | 6542.62] loss=0.57742 avg=1.05753
[11736 | 6543.12] loss=1.30363 avg=1.05999
[11737 | 6543.63] loss=1.69143 avg=1.06630
[11738 | 6544.13] loss=0.74049 avg=1.06305
[11739 | 6544.63] loss=1.97031 avg=1.07212
[11740 | 6545.13] loss=1.21853 avg=1.07358
[11741 | 6545.63] loss=0.97700 avg=1.07262
[11742 | 6546.13] loss=1.71228 avg=1.07901
[11743 | 6546.63] loss=1.70403 avg=1.08526
[11744 | 6547.13] loss=1.47693 avg=1.08918
[11745 | 6547.64] loss=0.45205 avg=1.08281
[11746 | 6548.14] loss=1.50435 avg=1.08702
[11747 | 6548.64] loss=0.74418 avg=1.08360
[11748 | 6549.14] loss=1.14410 avg=1.08420
[11749 | 6549.64] loss=0.76019 avg=1.08096
[11750 | 6550.14] loss=1.09663 avg=1.08112
[11751 | 6550.65] loss=1.44441 avg=1.08475
[11752 | 6551.15] loss=1.54839 avg=1.08939
[11753 | 6551.65] loss=1.12666 avg=1.08976
[11754 | 6552.15] loss=1.10445 avg=1.08991
[11755 | 6552.65] loss=1.52615 avg=1.09427
[11756 | 6553.15] loss=0.75336 avg=1.09086
[11757 | 6553.65] loss=1.62383 avg=1.09619
[11758 | 6554.15] loss=0.62739 avg=1.09150
[11759 | 6554.66] loss=1.35449 avg=1.09413
[11760 | 6555.16] loss=0.93695 avg=1.09256
[11761 | 6555.66] loss=0.62539 avg=1.08789
[11762 | 6556.16] loss=0.93106 avg=1.08632
[11763 | 6556.66] loss=0.88543 avg=1.08431
[11764 | 6557.16] loss=0.83404 avg=1.08181
[11765 | 6557.66] loss=2.05437 avg=1.09153
[11766 | 6558.16] loss=1.67556 avg=1.09737
[11767 | 6558.67] loss=1.67498 avg=1.10315
[11768 | 6559.17] loss=0.60352 avg=1.09815
[11769 | 6559.67] loss=0.63830 avg=1.09355
[11770 | 6560.17] loss=0.41374 avg=1.08676
[11771 | 6560.67] loss=1.81584 avg=1.09405
[11772 | 6561.17] loss=0.52573 avg=1.08836
[11773 | 6561.67] loss=0.82367 avg=1.08572
[11774 | 6562.17] loss=0.99361 avg=1.08480
[11775 | 6562.67] loss=0.96494 avg=1.08360
[11776 | 6563.18] loss=1.25658 avg=1.08533
[11777 | 6563.68] loss=0.63273 avg=1.08080
[11778 | 6564.18] loss=0.81931 avg=1.07819
[11779 | 6564.68] loss=1.92886 avg=1.08669
[11780 | 6565.18] loss=0.67188 avg=1.08255
[11781 | 6565.68] loss=0.83617 avg=1.08008
[11782 | 6566.18] loss=0.99505 avg=1.07923
[11783 | 6566.68] loss=0.96276 avg=1.07807
[11784 | 6567.18] loss=1.92740 avg=1.08656
[11785 | 6567.68] loss=1.39413 avg=1.08964
[11786 | 6568.18] loss=0.52818 avg=1.08402
[11787 | 6568.68] loss=1.80523 avg=1.09123
[11788 | 6569.19] loss=1.23516 avg=1.09267
[11789 | 6569.69] loss=1.48426 avg=1.09659
[11790 | 6570.19] loss=1.70656 avg=1.10269
[11791 | 6570.69] loss=0.45364 avg=1.09620
[11792 | 6571.20] loss=0.72534 avg=1.09249
[11793 | 6571.70] loss=0.33877 avg=1.08495
[11794 | 6572.20] loss=0.97515 avg=1.08385
[11795 | 6572.70] loss=1.18655 avg=1.08488
[11796 | 6573.20] loss=1.68236 avg=1.09086
[11797 | 6573.70] loss=2.08511 avg=1.10080
[11798 | 6574.20] loss=1.01092 avg=1.09990
[11799 | 6574.70] loss=0.25301 avg=1.09143
Generating samples...
======== SAMPLE 1 ========
['있', '##었', '##던', '것', '##은', '바로', '내', '##가', '살', '##면서', '듣', '##고', '즐거웠', '##던', '그', '한마디', '였', '##다', '.', '나', '##에게', '말', '##을', '거', '##는', '그', '말', '한마디', '##의', '파장', '##은', '생각', '##보다', '컸', '##었', '##다', '.', '나', '##도', '모르', '##게', '누군가', '##에게', '말', '##을', '거', '##는', '그', '말', '한마디', '##에', ',', '난', '눈', '##을', '질', '##끈', '감', '##았', '##다', '.', '그리고', '한동안', '내', '##가', '나', '##를', '찾', '##지', '않', '##는', '것', '##도', '어쩌면', '그', '때문', '##일', '텐데', '.', '그', '아이', '##의', '존재', '##가', '왜', '그렇게', '큰', '것', '##인지', '말', '##이야', '.', '“', '안녕', '##이라고', '”', '하', '##긴', '작년', '크리스마스', '##였', '##다', '.', '정말', '그', '애', '##가', '돌', '##아', '온', '그', '날', '##이', '기억', '##났', '##다', '.', '참', '고마웠', '##어', '친구', '##들', '##과', '얘기', '##할까', '떠올리', '##긴', '했', '##지만', '역시', '##나', ',', '그', '날', '##은', '유난히', '일찍', '왔', '##던', '것', '같', '##아', '.', '정말', '고마웠', '##어', '.', '우린', '이', '날', '##이', '크리스마스', '날', '나일', '줄이', '##야', '생각', '##도', '하지', '.', '늘', '크리스마스', '##를', '날', '축하', '##해', '##주', '##며', '다녔', '##지', '.', '우리', '셋', '##이', '만나', '##면', '피하', '##는', '대신', ',', '산타클로스', '##를', '정말', '많이', '만났', '##어', '.', '기억나', '##는', '게', ',', '작', '##은', '내', '##가', '주워', '모은', '꿈', '##이', '##었', '##거든', '.', '크리스마스', '당일', '##이', '##었', '##잖아', '.', '작', '##은', '우리', '##를', '설레', '##게', '해주', '##는', '것', '##이', '산타', '##네', '##에게', '작', '##기', '##를', '그간', '존재', '##하', '##지', '않', '##던', '꼬마', '##아이', '##에게', '산타', '##라는', '존재', '##를', '선물', '받', '##는다는', '걸', '.', '난', '매년', '산타', '행사', '##에', '가면', '산타', '##라는', '존재', '##를', '생각', '##했', '##는데', ',', '엄마']

[11800 | 6579.98] loss=0.75445 avg=1.08806
[11801 | 6580.48] loss=0.73473 avg=1.08453
[11802 | 6580.98] loss=1.46669 avg=1.08835
[11803 | 6581.48] loss=1.29631 avg=1.09043
[11804 | 6581.98] loss=1.62278 avg=1.09575
[11805 | 6582.48] loss=1.38236 avg=1.09862
[11806 | 6582.98] loss=1.18894 avg=1.09952
[11807 | 6583.48] loss=1.49466 avg=1.10347
[11808 | 6583.98] loss=1.39938 avg=1.10643
[11809 | 6584.48] loss=1.08827 avg=1.10625
[11810 | 6584.98] loss=1.21583 avg=1.10735
[11811 | 6585.48] loss=0.90435 avg=1.10532
[11812 | 6585.98] loss=1.02091 avg=1.10447
[11813 | 6586.48] loss=0.92002 avg=1.10263
[11814 | 6586.99] loss=1.07429 avg=1.10234
[11815 | 6587.49] loss=0.93954 avg=1.10072
[11816 | 6587.99] loss=1.12066 avg=1.10092
[11817 | 6588.49] loss=1.50951 avg=1.10500
[11818 | 6588.99] loss=1.08488 avg=1.10480
[11819 | 6589.49] loss=0.54150 avg=1.09917
[11820 | 6590.00] loss=1.81928 avg=1.10637
[11821 | 6590.50] loss=0.76524 avg=1.10296
[11822 | 6591.00] loss=1.36657 avg=1.10559
[11823 | 6591.50] loss=1.30269 avg=1.10756
[11824 | 6592.00] loss=1.11954 avg=1.10768
[11825 | 6592.50] loss=0.61675 avg=1.10277
[11826 | 6593.00] loss=1.09597 avg=1.10271
[11827 | 6593.50] loss=1.77381 avg=1.10942
[11828 | 6594.00] loss=1.73743 avg=1.11570
[11829 | 6594.51] loss=1.28058 avg=1.11735
[11830 | 6595.01] loss=1.48707 avg=1.12104
[11831 | 6595.51] loss=1.22451 avg=1.12208
